date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:11	4938/4938	---M--	200	added ('OK')	image/jpeg	etag:%22134a-5ac1bbf75521a%22	https://2.wlimg.com/product_images/bc-full/2020/8/7416829/scorched-cashew-nuts-1596610059-5543743.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-full/2020/8/7416829/scorched-cashew-nuts-1596610059-5543743.jpg	(from http://www.prathaptraders.co.in/scorched-cashew-nuts.htm)
20:44:12	21049/21049	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:12%20GMT	http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748577	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/enquiry-form-10019f431.html	(from http://www.prathaptraders.co.in/scorched-cashew-nuts.htm)
20:44:13	33250/33250	---M--	200	added ('OK')	image/jpeg	etag:%2281e2-5ac1bc1017c17%22	https://2.wlimg.com/product_images/bc-full/2020/8/7416829/split-cashew-nuts-1596610085-5543746.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-full/2020/8/7416829/split-cashew-nuts-1596610085-5543746.jpg	(from http://www.prathaptraders.co.in/split-cashew-nuts.htm)
20:44:15	21034/21034	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:14%20GMT	http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748578	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/enquiry-form-100196c56.html	(from http://www.prathaptraders.co.in/split-cashew-nuts.htm)
20:44:16	40329/40329	---M--	200	added ('OK')	image/jpeg	etag:%229d89-5acd06178fe93%22	https://2.wlimg.com/product_images/bc-full/2020/8/7416829/masala-cashew-nuts-1597385872-5554175.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-full/2020/8/7416829/masala-cashew-nuts-1597385872-5554175.jpg	(from http://www.prathaptraders.co.in/masala-cashew-nuts.htm)
20:44:17	21039/21039	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:16%20GMT	http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748579	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/enquiry-form-10019df54.html	(from http://www.prathaptraders.co.in/masala-cashew-nuts.htm)
20:44:18	87852/87852	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:17%20GMT	http://www.prathaptraders.co.in/sitemap.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/sitemap.htm	(from http://www.prathaptraders.co.in/)
20:44:20	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-16dc4%22	https://code.jquery.com/jquery-1.8.3.min.js	http://www.prathaptraders.co.in/cashew/code.jquery.com/jquery-1.8.3.min.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
20:44:20	32392/32392	---M-Z	200	added ('OK')	application/javascript	etag:%227e88-56903d56c0d80-gzip%22	https://catalog.wlimg.com/main-common/bizcatglog-js.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/bizcatglog-js.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
20:44:21	5875/5875	---M-Z	200	added ('OK')	application/javascript	etag:%2216f3-4fe3935f9d8c0-gzip%22	https://catalog.wlimg.com/main-common/country_list.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/country_list.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
20:44:22	66503/66503	---M-Z	200	added ('OK')	application/javascript	etag:%22103c7-5a2ed8d7a4d93-gzip%22	https://catalog.wlimg.com/main-common/common-static-form_new.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/common-static-form_new.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
20:44:23	10220/10220	---M-Z	200	added ('OK')	application/javascript	etag:%2227ec-4d4e38c28ee40-gzip%22	https://catalog.wlimg.com/main-common/swfobject-new.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/swfobject-new.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
20:44:24	200709/200709	---M-Z	200	added ('OK')	application/javascript	etag:%2231005-5238c19650e00-gzip%22	https://catalog.wlimg.com/jquery-date-picker/jquery-ui.min.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/jquery-date-picker/jquery-ui.min.js	(from http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575)
